symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,722.75,728.5,722.75,728.5,594.6549,30007
HSPX.LSE,d,733.5,735.0,733.0,733.0,598.3281,14113
HSPX.LSE,d,731.25,731.25,730.5,730.75,596.4915,60014
HSPX.LSE,d,732.75,733.25,730.25,733.25,598.5322,20020
HSPX.LSE,d,736.0,736.5,736.0,736.5,601.1851,13223
HSPX.LSE,d,732.5,740.75,732.5,740.75,604.6542,30281
HSPX.LSE,d,742.5,748.5,742.5,748.5,610.9804,2480
HSPX.LSE,d,739.0,739.0,738.25,738.25,602.6136,4737
HSPX.LSE,d,736.25,739.0,733.5,736.5,601.1851,244240
HSPX.LSE,d,745.5,745.5,744.75,744.75,607.9193,7200
HSPX.LSE,d,749.5,750.0,749.0,750.0,612.2048,33393
HSPX.LSE,d,746.75,746.75,745.75,746.5,609.3478,36625
HSPX.LSE,d,751.25,755.5,751.25,755.5,616.6943,166075
HSPX.LSE,d,754.0,758.0,754.0,756.75,617.7146,36199
HSPX.LSE,d,758.75,763.0,758.75,759.5,619.9594,43439
HSPX.LSE,d,753.5,753.5,750.75,750.75,612.817,67034
HSPX.LSE,d,749.75,749.75,747.0,747.0,609.756,9648
HSPX.LSE,d,754.0,754.0,744.5,744.5,607.7153,117654
HSPX.LSE,d,741.75,747.25,741.5,741.5,605.2665,38463
HSPX.LSE,d,746.75,746.75,745.0,745.0,608.1234,126167
HSPX.LSE,d,748.75,749.0,747.75,747.75,610.3682,2850
HSPX.LSE,d,749.0,749.0,744.25,744.25,607.5112,109961
HSPX.LSE,d,751.75,752.0,748.0,752.0,613.8373,62779
HSPX.LSE,d,755.75,759.0,755.0,758.0,618.735,94069
HSPX.LSE,d,760.75,760.75,760.25,760.5,620.7756,381
HSPX.LSE,d,764.25,766.5,764.25,766.5,625.6733,6308
HSPX.LSE,d,763.75,763.75,757.75,757.75,618.5309,34027
HSPX.LSE,d,755.0,755.0,753.75,753.75,615.2658,54616
HSPX.LSE,d,746.25,748.75,746.25,747.0,609.756,36974
HSPX.LSE,d,746.5,748.25,746.5,746.75,609.5519,41934
HSPX.LSE,d,752.0,755.5,751.0,754.75,616.0821,104936
HSPX.LSE,d,754.25,754.75,754.25,754.5,615.878,66660
HSPX.LSE,d,753.5,753.5,753.0,753.25,614.8577,1983
HSPX.LSE,d,749.5,749.75,749.5,749.75,612.0007,7228
HSPX.LSE,d,753.75,763.0,753.75,763.0,622.8163,22528
HSPX.LSE,d,765.0,767.25,765.0,767.25,626.2855,17851
HSPX.LSE,d,762.5,768.25,762.5,768.25,627.1018,56621
HSPX.LSE,d,765.75,765.75,762.5,762.5,622.4082,5487
HSPX.LSE,d,768.5,768.5,762.75,762.75,622.6123,40581
HSPX.LSE,d,767.5,778.25,767.0,778.0,635.0604,40360
HSPX.LSE,d,779.75,787.5,779.75,787.0,642.4069,32159
HSPX.LSE,d,789.25,790.0,781.0,781.0,637.5092,131043
HSPX.LSE,d,785.5,785.5,784.75,785.5,641.1825,25
HSPX.LSE,d,784.0,787.5,784.0,784.0,639.9581,59036
HSPX.LSE,d,780.5,781.75,780.5,781.75,638.1214,13373
